id	ENGLISH	TRANSLATION IN YOUR LANGUAGE	NOTES BY TRANSLATOR (IF NECESSARY)
Local Organization Form-5	What is your background with this language? Is your relationship with this language social, academic, and/or professional? Please share as much information as you can.	एह भाषा संगे राउर कइसन जुड़ाव बा? का रउवा एह भाषा के इस्तेमाल सामाजिक, अकादमिक अउर/भा पेशेवर रूप में करेनीं? जेतना हो सके, ओतना जानकारी साझा करीं।	
Local Organization Form-6	What organizations are you part of, and what is this organization's relationship with the language? For example, you could be part of an academic institution, a non-profit organization that focuses on this language, a government ministry focused on language, or a company that uses this language in its work.	रउआ कवन-कवन संस्था से जुड़ल बानी, आ ई संस्था के भाषा से कइसन संबंध बा? उदाहरण खातिर, रउआ एगो शैक्षणिक संस्था, एह भाषा पर काम करे वाला गैर-लाभकारी संस्था, भाषा संबंधी सरकारी मंत्रालय, भा एह भाषा के इस्तेमाल करे वाली कंपनी से जुड़ल हो सकेनी।	
Survey Tool	Translations in the Unicode Common Locale Data Repository are collected and managed through an online platform called the Survey Tool. This tool lets people view language data, suggest new translations or corrections, see what others have submitted, and discuss differences to reach agreement. During each submission period, contributors—including members of the Unicode Consortium, organizations, and the general public—are invited to review data for their languages and regions and propose updates. These updates can range from small wording changes to adding support for languages that are entirely new to the repository. Instead of a small group deciding everything in private, the tool lets many contributors discuss and vote, so the data reflects real language use. After several review stages, the approved information becomes part of the CLDR database, which is used by millions of phones, websites, and apps worldwide.	यूनिकोड कॉमन लोकेल डेटा रिपॉजिटरी (Unicode Common Locale Data Repository) में अनुवाद सभ सर्वे टूल (Survey Tool) नांव के ऑनलाइन प्लेटफॉर्म के जरिए इकट्ठा आ प्रबंधित कइल जाला। एह टूल से लोग भाषा संबंधी डेटा देख सके ला, नया अनुवाद जमा क सकेला भा ओकरा में सुधार के सुझाव दे सके ला, ईहो देख सके ला कि दूसर लोग का भेजले बा आ सहमति बनावे खातिर मतभेद पर चर्चा क सकेला।	
MokBlok-1	MokBlok helps people check whether their translations make sense when used in real apps. Language data often looks correct in a list but causes problems when displayed in calendars, menus, or interfaces.	MokBlok लोगन के ई चेक करे में मदद करेला कि उनकर अनुवाद असल में जब ऐप में इस्तेमाल होला, त ऊ सही मतलब देता कि ना। भाषा से जुड़ल डेटा लिस्ट में देखवला प त ठीक लागेला, लेकिन कैलेंडर, मेनू भा इंटरफेस में देखवला प कई बेर दिक्कत पैदा क देला।	
MokBlok-2	MokBlok takes translation data and automatically places it into realistic app screens, such as calendars or health apps. Contributors can see exactly how their language appears and quickly spot mistakes or awkward phrasing.	MokBlok अनुवाद से जुड़ल डेटा ले के, कैलेंडर आ हेल्थ ऐप जइसन असली ऐप स्क्रीन में अपना-आपे डाल देला। एहसे योगदान देवे वाला लोग साफ-साफ देख सकेला कि उनकर भाषा स्क्रीन पर कइसन लउकता आ कवनों गलती भा अटपटा शब्द तुरंत पकड़ में आ जाला।	
MokBlok-3	MokBlok also provides examples of how other languages are used in digital interfaces. This is especially helpful for designers working with languages that are rarely supported and lack design references.	MokBlok इहो देखावेला कि डिजिटल इंटरफेस में दोसर भाषा सभ के इस्तेमाल कइसे कइल जाला। ई फीचर ऊ डिजाइनर लोगन खातिर बहुत मददगार होला, जे अइसन कुल्ही भाषा प काम करेलन जवना प कम धियान दिहल जाला आ जेकरा खातिर डिजाइन रेफरेंस भी बहुत कम बा।	
MokBlok-4	MokBlok makes it easier to review language data visually, instead of relying only on tables or text lists.	MokBlok के मदद से भाषा से जुड़ल डेटा खाली टेबल भा टेक्स्ट लिस्ट तक सीमित ना रहेला, ई डेटा के सीधे स्क्रीन प देखा के रिव्यू कइल आसान बना देला।	
Practitioners Program Call-1	SILICON Practitioners Program – Call for Proposals	SILICON प्रैक्टिशनर्स प्रोग्राम – प्रस्ताव खातिर न्योता	
Practitioners Program Call-2	The SILICON Practitioners Program supports practitioners working to expand the digital presence of underrepresented languages. This program provides small grants to individuals with concrete, impact-driven projects that advance language inclusion across digital systems. Practitioners are supported by SILICON, a Stanford-based initiative focused on building durable, community-centered language infrastructure.	SILICON प्रैक्टिशनर्स प्रोग्राम अइसन प्रैक्टिशनर लोगन के मदद करेला, जे कम इस्तेमाल होखे वाली भाषा के मौजूदगी डिजिटल दुनिया में बढ़ावे खातिर काम कर रहल बाड़न। ई प्रोग्राम अइसन लोगन के छोट अनुदान देला, जेकरा लगे एह भाषा सभ के डिजिटल सिस्टम में सामिल करे खातिर ठोस आ असरदार प्रोजेक्ट होला। SILICON स्टैनफोर्ड आधारित एगो पहल ह, जवन प्रैक्टिशनर लोगन के सहयोग करेला आ ओकर फोकस टिकाऊ, समुदाय-केंद्रित भाषा इंफ्रास्ट्रक्चर बनावे पर बा।	
Practitioners Program Call-3	The program is designed for people who are already doing the work or are ready to begin. Whether you are launching a new project, unblocking stalled progress, or bringing an existing effort to completion, the Practitioners Program offers funding, visibility, and institutional support to help move your work forward.	ई प्रोग्राम ओह लोगन खातिर बनावल गइल बा, जे पहिले से ई काम कर रहल बाड़न या सुरू करे के तइयार बाड़न। चाहे रउवा नया प्रोजेक्ट लॉन्च करत होखीं, अटकल प्रोजेक्ट के आगे बढ़ावत होखीं, या पहिले से चल रहल प्रयास के पूरा करत होखीं, प्रैक्टिशनर्स प्रोग्राम राउर काम आगे बढ़ावे खातिर फंडिंग, पहचान आ संस्थागत मदद प्रदान करेला।	
