Subject	Group	Field	Instance	Length	Variant	Example#	XPath	ExtID	English	English (pattern)	French	Level	Var1	Var2
dates	DateIntervals	intervalFormats	yMd		y	2	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="yMd"]/greatestDifference[@id="y"]	dc-67_XXX	4/23/2024 – 4/23/2027	M/d/y – M/d/y		Moderate	1,713,855,600,000	
dates	DateIntervals	intervalFormats	yMEd		y	1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="yMEd"]/greatestDifference[@id="y"]	dc-21_XXX	Tue, 4/23/2024 – Tue, 4/23/2027	E, M/d/y – E, M/d/y		Moderate	1,713,855,600,000	
dates	DateIntervals	intervalFormats	yMMM		y	1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="yMMM"]/greatestDifference[@id="y"]	dc-19_XXX	Apr 2024 – Apr 2027	MMM y – MMM y	Apr 2024 – Apr 2027	Moderate	1,713,855,600,000	
dates	DateIntervals	intervalFormats	yMMM		m	1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="yMMM"]/greatestDifference[@id="m"]	dc-20_XXX	Apr – May 2024	MMM – MMM y		Moderate	1,713,855,600,000	
dates	DateIntervals	intervalFormats	yMMM		M	2	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="yMMM"]/greatestDifference[@id="M"]	dc-73_XXX	Apr – May 2024	MMM – MMM y		Moderate	1,713,855,600,000	
dates	DateIntervals	intervalFormats	yMMMd		y	1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="yMMMd"]/greatestDifference[@id="y"]	dc-16_XXX	Apr 23, 2024 – Apr 23, 2027	MMM d, y – MMM d, y		Moderate	1,713,855,600,000	
dates	DateIntervals	intervalFormats	yMMMd		m	1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="yMMMd"]/greatestDifference[@id="m"]	dc-17_XXX	Apr 23 – May 23, 2024	MMM d – MMM d, y		Moderate	1,713,855,600,000	
dates	DateIntervals	intervalFormats	yMMMd		d	1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="yMMMd"]/greatestDifference[@id="d"]	dc-18_XXX	Apr 23 – 24, 2024	MMM d – d, y		Moderate	1,713,855,600,000	1713942000000
dates	DateIntervals	intervalFormats	yMMMd		d	2	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="yMMMd"]/greatestDifference[@id="d"]	dc-74_XXX	Apr 23 – 24, 2024	MMM d – d, y		Moderate	1,713,855,600,000	1713942000000
dates	DateIntervals	intervalFormats	yMMMd		M	2	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="yMMMd"]/greatestDifference[@id="M"]	dc-75_XXX	Apr 23 – May 23, 2024	MMM d – MMM d, y		Moderate	1,713,855,600,000	
dates	DateIntervals	intervalFormats	yMMMEd		y	1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="yMMMEd"]/greatestDifference[@id="y"]	dc-13_XXX	Tue, Apr 23, 2024 – Tue, Apr 23, 2027	E, MMM d, y – E, MMM d, y		Moderate	1,713,855,600,000	
dates	DateIntervals	intervalFormats	yMMMEd		m	1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="yMMMEd"]/greatestDifference[@id="m"]	dc-14_XXX	Tue, Apr 23 – Tue, May 23, 2024	E, MMM d – E, MMM d, y		Moderate	1,713,855,600,000	
dates	DateIntervals	intervalFormats	yMMMEd		d	1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="yMMMEd"]/greatestDifference[@id="d"]	dc-15_XXX	Tue, Apr 23 – Wed, Apr 24, 2024	E, MMM d – E, MMM d, y		Moderate	1,713,855,600,000	1713942000000
dates	DateIntervals	intervalFormats	yMMMM		y	1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="yMMMM"]/greatestDifference[@id="y"]	dc-12_XXX	April 2024 – May 2024	MMMM y – MMMM y	April 2024 – May 2024	Moderate	1,713,855,600,000	
dates	Dates	availableFormats	Ehm			1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="Ehm"]	dc-31_XXX	Tue 3:30 PM	E h:mm a	Tue 3:30 PM	Moderate	1,713,911,400,000	
dates	Dates	availableFormats	EHm			1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="EHm"]	dc-33_XXX	Tue 15:30	E HH:mm	Tue 15:30	Moderate	1,713,911,400,000	
